id,table_id:id,name,description,percent,from_date,to_date,doc_number_lenght,doc_number_lenght_fixed,doc_serie_lenght,doc_serie_lenght_fixed,active
2535,l10n_pe_sunat_tables.pe_sunat_ple_table36,7.4,Registro de Activos Fijos - Detalle de Los Activos Fijos Bajo la Modalidad de Arrendamiento Financiero Al 31.12,0,,,0,False,0,False,True
2536,l10n_pe_sunat_tables.pe_sunat_ple_table36,8.1,Registro de Compras,0,,,0,False,0,False,True
2537,l10n_pe_sunat_tables.pe_sunat_ple_table36,8.2,Registro de Compras - Información de Operaciones Con Sujetos No Domiciliados,0,,,0,False,0,False,True
2538,l10n_pe_sunat_tables.pe_sunat_ple_table36,8.3,Registro de Compras Simplificado,0,,,0,False,0,False,True
2539,l10n_pe_sunat_tables.pe_sunat_ple_table36,9.1,Registro de Consignaciones - Para El Consignador - Control de Bienes Entregados En Consignación,0,,,0,False,0,False,True
2540,l10n_pe_sunat_tables.pe_sunat_ple_table36,9.2,Registro de Consignaciones - Para El Consignatario - Control de Bienes Recibidos En Consignación,0,,,0,False,0,False,True
2541,l10n_pe_sunat_tables.pe_sunat_ple_table36,10.1,Registro de Costos - Estado de Costo de Ventas Anual,0,,,0,False,0,False,True
2542,l10n_pe_sunat_tables.pe_sunat_ple_table36,10.2,Registro de Costos - Elementos del Costo Mensual,0,,,0,False,0,False,True
2543,l10n_pe_sunat_tables.pe_sunat_ple_table36,10.3,Registro de Costos - Estado de Costo de Produccion Valorizado Anual,0,,,0,False,0,False,True
2544,l10n_pe_sunat_tables.pe_sunat_ple_table36,10.4,Registro de Costos - Centro de Costos,0,,,0,False,0,False,True
2545,l10n_pe_sunat_tables.pe_sunat_ple_table36,12.1,Registro del Inventario Permanente En Unidades Físicas - Detalle del Inventario Permanente En Unidades Físicas,0,,,0,False,0,False,True
2546,l10n_pe_sunat_tables.pe_sunat_ple_table36,13.1,Registro del Inventario Permanente Valorizado - Detalle del Inventario Valorizado,0,,,0,False,0,False,True
2547,l10n_pe_sunat_tables.pe_sunat_ple_table36,14.1,Registro de Ventas E Ingresos,0,,,0,False,0,False,True
2548,l10n_pe_sunat_tables.pe_sunat_ple_table36,14.2,Registro de Ventas E Ingresos Simplificado,0,,,0,False,0,False,True
