id,clave,nombre
cve_clave_unidad124,XEI,Estuche isotérmico
cve_clave_unidad125,XEN,Sobre
cve_clave_unidad126,XFB,Bolsa flexible
cve_clave_unidad127,XFC,Cajón para fruta
cve_clave_unidad128,XFD,Cajón enmarcado
cve_clave_unidad129,XFE,Tanque flexible
cve_clave_unidad130,XFI,Firkin
cve_clave_unidad131,XFL,Matraz
cve_clave_unidad132,XFO,Cajón para zapatos
cve_clave_unidad133,XFP,Caja auxiliar para película fotográfica
cve_clave_unidad134,XFR,Marco
cve_clave_unidad135,XFT,Contenedor para alimentos
cve_clave_unidad136,XFW,Carro de cama plana
cve_clave_unidad137,XFX,Bolsa flexible tipo contenedor
cve_clave_unidad138,XGB,Botella para gas
cve_clave_unidad139,XGI,Viga
cve_clave_unidad140,XGL,Contenedor tipo galón
cve_clave_unidad141,XGR,Recipiente de vidrio
cve_clave_unidad142,XGU,Bandeja contenedor para apilar horizontalmente objetos planos
cve_clave_unidad143,XGY,Costal de Yute
cve_clave_unidad144,XGZ,Vigas con correas o agrupadas
cve_clave_unidad145,XHA,Cesta con mango y de plástico
cve_clave_unidad146,XHB,Cesta con mango y de madera
cve_clave_unidad147,XHC,Cesta  con asa y de  cartón
cve_clave_unidad148,XHG,Hogshead
cve_clave_unidad149,XHN,Gancho
cve_clave_unidad150,XHR,Cesto
cve_clave_unidad151,XIA,Paquete con pantalla y de madera
cve_clave_unidad152,XIB,Paquete  con pantalla y de cartón
cve_clave_unidad153,XIC,Paquete con pantalla y de plástico
cve_clave_unidad154,XID,Paquete con pantalla y de metal
cve_clave_unidad155,XIE,Paquete de mostrador.
cve_clave_unidad156,XIF,Envase para alimentos
cve_clave_unidad157,XIG,Paquete envuelto en papel
cve_clave_unidad158,XIH,Tambor de plástico
cve_clave_unidad159,XIK,Paquete de cartón con los agujeros para botellas
cve_clave_unidad160,XIL,Bandeja rígida con tapa y apilable (CEN TS 14482: 2002)
cve_clave_unidad161,XIN,Lingote
cve_clave_unidad162,XIZ,Lingotes  con correas/ agrupados
cve_clave_unidad163,XJB,Bolsa jumbo
cve_clave_unidad164,XJC,Bidón rectangular
cve_clave_unidad165,XJG,Jarra
cve_clave_unidad166,XJR,Tarro
cve_clave_unidad167,XJT,Bolsa de yute
